Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2023-03-03,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,CHARGE,APPROVED,,IN,
2023-03-03,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,CAPTURE,APPROVED,,IN,
2023-03-03,2023-03-04,2023-04-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,CHARGE,PENDING,RECOVERY,IN,2023-04-04
2023-02-04,,,payment_transaction,CC,0914,,,,INR,,649.0,CHARGE,APPROVED,,IN,
2023-02-04,2023-02-04,2023-03-03,SUBSCRIPTION,VISA,0914,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,CAPTURE,APPROVED,RECOVERY,IN,2023-03-04
2023-02-04,,,payment_transaction,CC,0914,,,,INR,,649.0,CHARGE,DECLINED,,IN,
2023-02-04,2023-02-04,2023-03-03,SUBSCRIPTION,VISA,0914,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,CHARGE,APPROVED,RECOVERY,IN,2023-03-04
2023-02-04,,,payment_transaction,CC,0914,,,,INR,,649.0,CAPTURE,APPROVED,,IN,
2023-02-03,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,DECLINED,,IN,
2023-02-01,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,DECLINED,,IN,
2023-01-31,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,DECLINED,,IN,
2023-01-31,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,THROTTLED,,IN,
2023-01-29,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,DECLINED,,IN,
2023-01-27,2023-01-28,2023-02-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,DECLINED,REVERSAL,IN,2023-02-28
2023-01-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,DECLINED,,IN,
2023-01-27,2023-01-28,2023-02-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,THROTTLED,REVERSAL,IN,2023-02-28
2023-01-27,2023-01-28,2023-02-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,REVERSAL,IN,2023-02-28
2023-01-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,NEW,,IN,
2023-01-23,,,payment_transaction,CC,4700,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2022-12-28,2022-12-28,2023-01-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,APPROVED,RECOVERY,IN,2023-01-28
2022-12-28,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,APPROVED,,IN,
2022-12-28,2022-12-28,2023-01-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,RECOVERY,IN,2023-01-28
2022-12-28,2022-12-28,2023-01-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,DECLINED,RECOVERY,IN,2023-01-28
